iter	Passed	Remaining
158	5507	29130
159	5527	29020
160	5555	28949
161	5576	28844
162	5607	28796
163	5625	28677
164	5645	28571
165	5660	28440
166	5677	28318
167	5693	28194
168	5707	28066
169	5722	27940
170	5742	27840
171	5767	27762
172	5797	27713
173	5821	27634
174	5839	27527
175	5858	27429
176	5882	27352
177	5900	27249
178	5916	27135
179	5932	27026
180	5951	26929
181	5974	26851
182	6008	26827
183	6024	26715
184	6038	26602
185	6052	26488
186	6065	26371
187	6081	26265
188	6096	26159
189	6116	26073
190	6130	25965
191	6149	25879
192	6169	25797
193	6194	25737
194	6215	25659
195	6230	25558
196	6247	25465
197	6262	25365
198	6277	25266
199	6294	25178
200	6310	25085
201	6325	24990
202	6343	24904
203	6362	24827
204	6382	24752
205	6416	24733
206	6448	24703
207	6463	24611
208	6485	24545
209	6507	24480
210	6526	24405
211	6545	24328
212	6563	24249
213	6580	24170
214	6595	24083
215	6613	24006
216	6633	23934
217	6649	23853
218	6668	23780
219	6686	23707
220	6702	23625
221	6716	23538
222	6738	23479
223	6760	23421
224	6781	23360
225	6799	23287
226	6818	23219
227	6842	23169
228	6859	23093
229	6876	23022
230	6891	22943
231	6905	22861
232	6919	22779
233	6943	22728
234	6961	22660
235	6986	22616
236	7003	22548
237	7047	22565
238	7079	22543
239	7094	22465
240	7111	22395
241	7135	22351
242	7176	22357
243	7207	22332
244	7237	22303
245	7259	22251
246	7282	22200
247	7314	22179
248	7339	22135
249	7370	22112
250	7441	22206
251	7552	22418
252	7601	22444
253	7671	22530
254	7720	22556
255	7752	22530
256	7796	22539
257	7815	22476
258	7858	22483
259	7879	22426
260	7900	22370
261	7919	22308
262	7933	22233
263	7949	22163
264	7967	22099
265	7986	22038
266	8001	21968
267	8016	21896
268	8034	21832
269	8056	21783
270	8078	21731
271	8096	21671
272	8127	21642
273	8161	21625
274	8194	21604
275	8215	21551
276	8243	21516
277	8273	21487
278	8299	21447
279	8315	21381
280	8334	21326
281	8357	21277
282	8412	21312
283	8435	21266
284	8524	21385
285	8627	21539
286	8716	21653
287	8769	21679
288	8872	21828
289	8978	21982
290	9007	21946
291	9025	21884
292	9043	21821
293	9085	21818
294	9106	21761
295	9119	21690
296	9135	21623
297	9151	21558
298	9164	21486
299	9178	21415
300	9194	21353
301	9210	21286
302	9226	21223
303	9244	21164
304	9260	21101
305	9276	21039
306	9327	21054
307	9347	21001
308	9364	20940
309	9385	20890
310	9409	20846
311	9428	20791
312	9447	20736
313	9467	20684
314	9518	20699
315	9545	20662
316	9562	20602
317	9579	20544
318	9595	20483
319	9610	20423
320	9633	20376
321	9672	20367
322	9702	20337
323	9730	20302
324	9857	20473
325	9921	20512
326	9998	20578
327	10043	20577
328	10081	20561
329	10109	20525
330	10128	20471
331	10146	20414
332	10163	20356
333	10180	20300
334	10202	20253
335	10262	20279
336	10277	20218
337	10295	20164
338	10318	20119
339	10338	20068
340	10354	20009
341	10375	19962
342	10390	19903
343	10426	19883
344	10455	19850
345	10470	19791
346	10486	19733
347	10503	19679
348	10520	19624
349	10545	19584
350	10566	19536
351	10587	19490
352	10601	19431
353	10616	19373
354	10645	19342
355	10671	19304
356	10687	19250
357	10705	19197
358	10720	19142
359	10736	19086
360	10750	19028
361	10765	18973
362	10799	18951
363	10819	18903
364	10837	18854
365	10866	18823
366	10894	18791
367	10912	18740
368	10929	18689
369	10947	18640
370	10961	18584
371	10976	18529
372	10995	18483
373	11012	18433
374	11034	18391
375	11099	18419
376	11130	18392
377	11157	18360
378	11183	18324
379	11208	18287
380	11233	18251
381	11255	18209
382	11285	18180
383	11324	18166
384	11345	18123
385	11368	18083
386	11394	18049
387	11415	18005
388	11436	17962
389	11453	17915
390	11479	17879
391	11510	17852
392	11574	17876
393	11589	17824
394	11603	17772
395	11619	17723
396	11636	17675
397	11652	17625
398	11677	17589
399	11710	17566
400	11735	17529
401	11751	17481
402	11779	17449
403	11800	17407
404	11819	17363
405	11834	17313
406	11865	17287
407	11901	17268
408	11930	17239
409	11957	17207
410	11977	17165
411	12000	17126
412	12016	17079
413	12030	17029
414	12050	16986
415	12065	16937
416	12086	16898
417	12113	16865
418	12144	16839
419	12180	16820
420	12201	16780
421	12221	16739
422	12246	16704
423	12271	16670
424	12293	16632
425	12306	16581
426	12320	16533
427	12338	16490
428	12359	16450
429	12388	16422
430	12425	16404
431	12458	16380
432	12512	16384
433	12569	16392
434	12654	16436
435	12703	16432
436	12735	16407
437	12756	16367
438	12776	16327
439	12799	16289
440	12824	16256
441	12848	16221
442	12879	16193
443	12940	16204
444	12969	16175
445	13005	16154
446	13032	16123
447	13080	16116
448	13105	16082
449	13124	16040
450	13140	15996
451	13154	15948
452	13168	15901
453	13183	15854
454	13200	15811
455	13216	15767
456	13236	15727
457	13292	15730
458	13322	15702
459	13373	15698
460	13395	15662
461	13413	15619
462	13432	15579
463	13448	15535
464	13464	15491
465	13480	15447
466	13501	15409
467	13526	15375
468	13540	15331
469	13555	15286
470	13569	15240
471	13586	15198
472	13610	15164
473	13633	15129
474	13654	15091
475	13684	15063
476	13722	15046
477	13748	15014
478	13780	14988
479	13801	14951
480	13828	14920
481	13859	14894
482	13876	14853
483	13902	14822
484	13938	14800
485	13956	14760
486	13985	14732
487	14003	14692
488	14020	14651
489	14038	14611
490	14053	14568
491	14073	14530
492	14087	14487
493	14158	14502
494	14207	14494
495	14250	14480
496	14290	14462
497	14341	14456
498	14420	14478
499	14450	14450
500	14520	14462
501	14551	14435
502	14669	14494
503	14720	14486
504	14797	14504
505	14872	14519
506	14924	14512
507	14958	14487
508	15000	14469
509	15018	14429
510	15041	14393
511	15100	14392
512	15131	14364
513	15178	14352
514	15201	14315
515	15217	14274
516	15236	14234
517	15260	14200
518	15279	14161
519	15299	14122
520	15316	14081
521	15368	14073
522	15406	14051
523	15429	14016
524	15458	13986
525	15480	13950
526	15499	13910
527	15559	13909
528	15593	13883
529	15622	13854
530	15644	13817
531	15668	13783
532	15704	13759
533	15749	13744
534	15769	13705
535	15792	13671
536	15833	13651
537	15863	13622
538	15887	13588
539	15906	13549
540	15928	13513
541	15957	13484
542	15979	13448
543	16014	13424
544	16036	13388
545	16055	13350
546	16077	13314
547	16109	13287
548	16131	13251
549	16152	13216
550	16178	13183
551	16195	13144
552	16231	13120
553	16287	13112
554	16309	13077
555	16331	13041
556	16360	13012
557	16385	12979
558	16406	12943
559	16463	12935
560	16493	12906
561	16523	12878
562	16542	12840
563	16565	12806
564	16582	12767
565	16599	12728
566	16620	12692
567	16648	12662
568	16707	12655
569	16735	12624
570	16757	12589
571	16777	12553
572	16796	12516
573	16812	12477
574	16839	12446
575	16861	12412
576	16887	12380
577	16909	12345
578	16932	12312
579	16953	12276
580	16973	12240
581	17006	12214
582	17039	12187
583	17070	12159
584	17091	12125
585	17137	12107
586	17172	12082
587	17196	12048
588	17214	12012
589	17232	11974
590	17249	11937
591	17275	11905
592	17306	11878
593	17331	11845
594	17350	11809
595	17368	11773
596	17391	11740
597	17408	11702
598	17428	11667
599	17451	11634
600	17510	11625
601	17542	11598
602	17575	11571
603	17595	11536
604	17625	11507
605	17673	11490
606	17696	11457
607	17718	11423
608	17741	11390
609	17762	11356
610	17796	11330
611	17821	11298
612	17834	11259
613	17848	11220
614	17861	11181
615	17877	11144
616	17895	11108
617	17909	11070
618	17928	11035
619	17957	11006
620	17984	10976
621	18002	10940
622	18025	10907
623	18049	10875
624	18071	10842
625	18087	10806
626	18107	10771
627	18126	10737
628	18156	10709
629	18172	10672
630	18193	10639
631	18210	10603
632	18232	10570
633	18247	10534
634	18263	10497
635	18281	10462
636	18296	10426
637	18310	10389
638	18334	10357
639	18356	10325
640	18376	10292
641	18391	10255
642	18405	10218
643	18422	10183
644	18437	10147
645	18452	10111
646	18467	10076
647	18483	10040
648	18498	10004
649	18574	10001
650	18669	10008
651	18687	9974
652	18703	9938
653	18722	9905
654	18745	9873
655	18761	9838
656	18798	9814
657	18814	9778
658	18828	9743
659	18844	9707
660	18858	9671
661	18876	9637
662	18891	9602
663	18906	9566
664	18920	9531
665	18934	9495
666	18950	9461
667	18963	9425
668	18978	9389
669	18999	9357
670	19028	9330
671	19072	9309
672	19090	9275
673	19108	9242
674	19127	9209
675	19145	9176
676	19162	9142
677	19181	9109
678	19202	9077
679	19222	9045
680	19237	9011
681	19257	8979
682	19274	8945
683	19287	8910
684	19300	8875
685	19315	8841
686	19329	8806
687	19344	8772
688	19361	8739
689	19379	8706
690	19415	8682
691	19447	8655
692	19469	8625
693	19510	8602
694	19564	8586
695	19620	8569
696	19643	8539
697	19659	8506
698	19684	8476
699	19701	8443
700	19718	8410
701	19735	8377
702	19754	8345
703	19769	8312
704	19785	8279
705	19800	8245
706	19818	8213
707	19837	8181
708	19854	8148
709	19870	8116
710	19886	8083
711	19900	8049
712	19927	8021
713	19944	7989
714	19959	7955
715	19975	7923
716	19992	7891
717	20013	7860
718	20038	7831
719	20063	7802
720	20081	7770
721	20100	7739
722	20117	7707
723	20136	7676
724	20157	7645
725	20172	7613
726	20190	7581
727	20206	7549
728	20236	7522
729	20257	7492
730	20273	7460
731	20287	7427
732	20305	7396
733	20325	7365
734	20340	7333
735	20352	7300
736	20365	7267
737	20381	7235
738	20402	7205
739	20417	7173
740	20441	7144
741	20484	7122
742	20502	7091
743	20519	7060
744	20538	7029
745	20565	7002
746	20613	6981
747	20629	6949
748	20649	6920
749	20670	6890
750	20692	6860
751	20710	6830
752	20728	6799
753	20744	6768
754	20762	6737
755	20781	6707
756	20796	6675
757	20813	6645
758	20827	6613
759	20842	6581
760	20868	6553
761	20883	6522
762	20900	6492
763	20916	6461
764	20931	6429
765	20950	6400
766	20965	6368
767	20977	6337
768	20993	6306
769	21009	6275
770	21027	6245
771	21047	6216
772	21093	6194
773	21123	6167
774	21149	6140
775	21165	6109
776	21182	6079
777	21201	6049
778	21219	6019
779	21238	5990
780	21272	5965
781	21321	5943
782	21342	5914
783	21364	5886
784	21405	5862
785	21426	5833
786	21444	5803
787	21459	5773
788	21475	5743
789	21493	5713
790	21512	5684
791	21548	5659
792	21576	5632
793	21594	5602
794	21644	5581
795	21665	5552
796	21687	5523
797	21709	5495
798	21736	5468
799	21780	5445
800	21807	5417
801	21829	5389
802	21844	5359
803	21867	5330
804	21883	5301
805	21902	5271
806	21923	5243
807	21961	5218
808	21982	5189
809	21997	5159
810	22010	5129
811	22024	5099
812	22043	5070
813	22059	5040
814	22077	5011
815	22096	4982
816	22112	4953
817	22131	4924
818	22155	4896
819	22183	4869
820	22238	4848
821	22287	4826
822	22303	4796
823	22320	4767
824	22337	4738
825	22354	4709
826	22377	4681
827	22403	4653
828	22416	4623
829	22435	4595
830	22449	4565
831	22464	4536
832	22476	4506
833	22490	4476
834	22504	4446
835	22520	4417
836	22545	4390
837	22615	4371
838	22637	4344
839	22654	4315
840	22668	4285
841	22688	4257
842	22703	4228
843	22719	4199
844	22737	4170
845	22766	4144
846	22788	4116
847	22805	4087
848	22821	4059
849	22836	4030
850	22853	4001
851	22870	3972
852	22885	3943
853	22898	3914
854	22914	3886
855	22927	3857
856	22948	3829
857	22966	3800
858	22982	3772
859	22999	3744
860	23019	3716
861	23036	3687
862	23052	3659
863	23073	3631
864	23091	3603
865	23110	3575
866	23128	3547
867	23145	3519
868	23216	3499
869	23241	3472
870	23258	3444
871	23297	3419
872	23336	3394
873	23396	3372
874	23426	3346
875	23467	3321
876	23486	3293
877	23510	3266
878	23523	3238
879	23540	3210
880	23560	3182
881	23586	3155
882	23605	3127
883	23625	3100
884	23662	3074
885	23699	3049
886	23716	3021
887	23730	2993
888	23745	2964
889	23758	2936
890	23773	2908
891	23787	2880
892	23803	2852
893	23817	2823
894	23834	2796
895	23851	2768
896	23876	2741
897	23895	2714
898	23916	2686
899	23934	2659
900	23947	2631
901	23977	2605
902	23992	2577
903	24007	2549
904	24020	2521
905	24038	2494
906	24060	2467
907	24077	2439
908	24093	2411
909	24133	2386
910	24151	2359
911	24169	2332
912	24186	2304
913	24201	2277
914	24219	2249
915	24250	2223
916	24288	2198
917	24308	2171
918	24329	2144
919	24356	2117
920	24386	2091
921	24402	2064
922	24419	2037
923	24473	2012
924	24508	1987
925	24527	1960
926	24545	1932
927	24561	1905
928	24575	1878
929	24588	1850
930	24603	1823
931	24619	1796
932	24639	1769
933	24658	1742
934	24680	1715
935	24724	1690
936	24741	1663
937	24763	1636
938	24782	1609
939	24798	1582
940	24814	1555
941	24832	1528
942	24848	1501
943	24864	1475
944	24880	1448
945	24903	1421
946	24919	1394
947	24937	1367
948	24951	1340
949	24965	1313
950	24978	1287
951	24991	1260
952	25005	1233
953	25021	1206
954	25035	1179
955	25051	1152
956	25070	1126
957	25090	1100
958	25122	1074
959	25140	1047
960	25159	1021
961	25183	994
962	25228	969
963	25246	942
964	25260	916
965	25277	889
966	25303	863
967	25323	837
968	25342	810
969	25359	784
970	25373	757
971	25387	731
972	25401	704
973	25416	678
974	25429	652
975	25445	625
976	25464	599
977	25481	573
978	25495	546
979	25515	520
980	25534	494
981	25550	468
982	25565	442
983	25580	415
984	25594	389
985	25609	363
986	25631	337
987	25656	311
988	25673	285
989	25694	259
990	25722	233
991	25762	207
992	25782	181
993	25797	155
994	25811	129
995	25829	103
996	25846	77
997	25860	51
998	25878	25
999	25892	0
