iter	RMSE
165	2.72330759
166	2.705660877
167	2.689700182
168	2.676060973
169	2.662432769
170	2.644372167
171	2.625852369
172	2.607894162
173	2.59483372
174	2.58212489
175	2.569554202
176	2.552092443
177	2.539367419
178	2.519025792
179	2.502282923
180	2.49001844
181	2.472469273
182	2.460787837
183	2.44803343
184	2.435887036
185	2.422219015
186	2.40945203
187	2.397309957
188	2.38498527
189	2.372050672
190	2.359203302
191	2.342816831
192	2.324267475
193	2.312253978
194	2.293885355
195	2.276705469
196	2.26565156
197	2.254295313
198	2.241781243
199	2.230586304
200	2.21852329
201	2.207536396
202	2.195528345
203	2.183747958
204	2.172819512
205	2.161274623
206	2.149706887
207	2.138996175
208	2.123235385
209	2.112104049
210	2.101997675
211	2.091945892
212	2.080968917
213	2.071099233
214	2.060490345
215	2.050264897
216	2.04067278
217	2.030445947
218	2.020965714
219	2.011188817
220	2.001956037
221	1.992805137
222	1.983138105
223	1.974042731
224	1.9649621
225	1.954855809
226	1.945689621
227	1.936263271
228	1.927022551
229	1.91679979
230	1.907446709
231	1.897409591
232	1.887572114
233	1.877900293
234	1.868958668
235	1.859114037
236	1.850523248
237	1.841685144
238	1.833240408
239	1.824566389
240	1.815853442
241	1.807883868
242	1.798558647
243	1.790162898
244	1.781322103
245	1.772872782
246	1.764541644
247	1.75619702
248	1.747952499
249	1.740060426
250	1.731008392
251	1.723306775
252	1.715601988
253	1.706278573
254	1.698163085
255	1.690027444
256	1.681660116
257	1.672593825
258	1.664899246
259	1.657575573
260	1.650263997
261	1.642685811
262	1.63483202
263	1.626939427
264	1.618998491
265	1.611314291
266	1.604234597
267	1.596330179
268	1.588895327
269	1.582126528
270	1.574130607
271	1.567026729
272	1.55915517
273	1.552535343
274	1.54528112
275	1.53855154
276	1.5312881
277	1.523966705
278	1.51601673
279	1.509289726
280	1.502147939
281	1.496042324
282	1.489079276
283	1.481925766
284	1.475889267
285	1.469563163
286	1.46268437
287	1.45655654
288	1.449963122
289	1.442450648
290	1.435808795
291	1.428913267
292	1.422656853
293	1.415501484
294	1.408537919
295	1.401543789
296	1.395244081
297	1.388918502
298	1.38222205
299	1.375583153
300	1.369100544
301	1.362726245
302	1.356884287
303	1.351098707
304	1.345054228
305	1.338792748
306	1.332871436
307	1.32652618
308	1.320861976
309	1.315421957
310	1.309270199
311	1.303335948
312	1.297608016
313	1.292159739
314	1.286109254
315	1.280562436
316	1.275363164
317	1.269152346
318	1.263686414
319	1.258184733
320	1.252684003
321	1.246880727
322	1.241577668
323	1.235764225
324	1.230480698
325	1.224583094
326	1.219424862
327	1.213798002
328	1.208802207
329	1.203498436
330	1.198600483
331	1.193135602
332	1.188372247
333	1.183071919
334	1.177452987
335	1.172600884
336	1.167597792
337	1.162774337
338	1.15795457
339	1.153118363
340	1.147552676
341	1.142477316
342	1.137475745
343	1.132392936
344	1.127607779
345	1.12331083
346	1.118254551
347	1.113786276
348	1.108877586
349	1.104225725
350	1.099288426
351	1.094977816
352	1.090526861
353	1.08563521
354	1.081117503
355	1.076757255
356	1.072075713
357	1.067759559
358	1.063122531
359	1.05891477
360	1.054369433
361	1.050049316
362	1.045543593
363	1.041291006
364	1.037169135
365	1.032908257
366	1.028557201
367	1.024279132
368	1.020298325
369	1.015664543
370	1.01153255
371	1.007161774
372	1.002877684
373	0.9989842497
374	0.99472669
375	0.9904790662
376	0.9864142234
377	0.9824928348
378	0.9778485508
379	0.9737935188
380	0.9699209508
381	0.9661001325
382	0.962438892
383	0.9582806873
384	0.9547560302
385	0.9512194333
386	0.9475991634
387	0.9439529269
388	0.9402732624
389	0.9365362282
390	0.9326025769
391	0.9287486536
392	0.924969042
393	0.9213435286
394	0.9178293651
395	0.9144674333
396	0.9104399357
397	0.9072550565
398	0.9037832888
399	0.8997123589
400	0.8960559732
401	0.8925698509
402	0.8890420784
403	0.8856675586
404	0.88220678
405	0.8786720863
406	0.8754098221
407	0.8721041012
408	0.8687754261
409	0.865186059
410	0.8620011154
411	0.85866311
412	0.8555132832
413	0.8521845978
414	0.8488512356
415	0.8451884796
416	0.8420139735
417	0.838654272
418	0.8353757805
419	0.8324007571
420	0.8292837794
421	0.8263022381
422	0.8230433814
423	0.8196779526
424	0.8164270962
425	0.8132367881
426	0.8098527689
427	0.8067350784
428	0.8035658801
429	0.8006720827
430	0.7976733118
431	0.7947996697
432	0.79167542
433	0.7886879724
434	0.7857726653
435	0.7826326267
436	0.7794720376
437	0.7767298879
438	0.7737699954
439	0.7709073057
440	0.7680842954
441	0.764816285
442	0.7620234618
443	0.7592158273
444	0.7563315176
445	0.7535340854
446	0.7505925077
447	0.7477501337
448	0.7451374002
449	0.7423810175
450	0.7396515729
451	0.7367248066
452	0.7341612256
453	0.7314401708
454	0.7289317679
455	0.7263294981
456	0.7237226811
457	0.7210196483
458	0.7183361221
459	0.7159438989
460	0.713413177
461	0.7106193912
462	0.7080499239
463	0.7053864466
464	0.702783952
465	0.7001822641
466	0.6975756159
467	0.6950536291
468	0.6927266087
469	0.6902706296
470	0.6877701418
471	0.6853637594
472	0.6828428695
473	0.680320161
474	0.6778564538
475	0.6754488701
476	0.6728335325
477	0.6704218309
478	0.6681363462
479	0.6657646589
480	0.6631544105
481	0.6608529662
482	0.6582790007
483	0.6560049219
484	0.6539423484
485	0.6514547042
486	0.6489936961
487	0.6466388243
488	0.6442997853
489	0.6417577082
490	0.6395293704
491	0.6373213913
492	0.6352730453
493	0.6330267609
494	0.6304918723
495	0.6282788487
496	0.6260788789
497	0.623767962
498	0.6216848617
499	0.6191660073
500	0.6171726625
501	0.6149855531
502	0.6129322588
503	0.6106614365
504	0.6085575185
505	0.6063265399
506	0.6043109454
507	0.6019115718
508	0.5998635538
509	0.5976075493
510	0.5951845346
511	0.593089254
512	0.5911396355
513	0.5889822788
514	0.58690454
515	0.5844593483
516	0.582255485
517	0.5803530324
518	0.5782592416
519	0.5761968502
520	0.5740038879
521	0.5719481604
522	0.5698075016
523	0.5678018222
524	0.5659121351
525	0.5638628763
526	0.5618676738
527	0.5599709788
528	0.5580508457
529	0.5563992474
530	0.5544745691
531	0.552487834
532	0.549588888
533	0.5476685773
534	0.5456785416
535	0.5438612013
536	0.5420259329
537	0.5400329991
538	0.5381265933
539	0.5364315862
540	0.5343664376
541	0.5325184368
542	0.5305867711
543	0.5287335511
544	0.5270797964
545	0.5251285426
546	0.5231516013
547	0.5213245653
548	0.5196328498
549	0.5177925362
550	0.5159956506
551	0.5141801603
552	0.51242746
553	0.5106439731
554	0.5090197348
555	0.5069401033
556	0.5048935523
557	0.503103418
558	0.5010691026
559	0.4992468
560	0.4975721375
561	0.4958835735
562	0.4944786465
563	0.4927216575
564	0.4911045271
565	0.4894779794
566	0.4878567326
567	0.4860303682
568	0.4842564529
569	0.4825769738
570	0.4809654779
571	0.4793938002
572	0.4778925979
573	0.4762206757
574	0.4748435678
575	0.4731949533
576	0.4716304573
577	0.4700343545
578	0.4685310972
579	0.4668833196
580	0.465257346
581	0.4639307645
582	0.4623051061
583	0.4606307679
584	0.4591614873
585	0.4576546791
586	0.4561809193
587	0.4545490077
588	0.4523618931
589	0.4507460747
590	0.4493074434
591	0.4478040382
592	0.4462751651
593	0.4448215449
594	0.4433036909
595	0.4419209863
596	0.4404617399
597	0.4390367506
598	0.4377134326
599	0.4362602226
600	0.4347996522
601	0.4336190755
602	0.4323042865
603	0.4308288162
604	0.4294440017
605	0.428023339
606	0.4266648874
607	0.4252523626
608	0.4238924437
609	0.422439603
610	0.4210729323
611	0.4196314115
612	0.4184912184
613	0.417379709
614	0.416131667
615	0.4148332633
616	0.4137397979
617	0.4123759655
618	0.4108619722
619	0.4094741531
620	0.4082577095
621	0.4069621632
622	0.4056834057
623	0.4044948751
624	0.4032619504
625	0.401993706
626	0.4007456127
627	0.3994365296
628	0.3981373101
629	0.3971007456
630	0.3956922598
631	0.3944410087
632	0.3931545033
633	0.3919975973
634	0.3907685603
635	0.3895357074
636	0.3882341355
637	0.3869599244
638	0.3857609034
639	0.3844231088
640	0.3831638801
641	0.3820211731
642	0.3809116022
643	0.3797155127
644	0.3784882098
645	0.3774732294
646	0.3760778201
647	0.3750312177
648	0.3737375589
649	0.3725800366
650	0.3714018563
651	0.3704148543
652	0.3689782203
653	0.3676829102
654	0.3666330958
655	0.3654955282
656	0.3643651012
657	0.363427849
658	0.3623611206
659	0.3613445324
660	0.3603575611
661	0.3592871822
662	0.357929459
663	0.3569736895
664	0.3557571315
665	0.3546826182
666	0.3536057934
667	0.3525939371
668	0.3514415514
669	0.3502147935
670	0.3490699189
671	0.3478685198
672	0.3468952785
673	0.3457887405
674	0.3444807043
675	0.3434628609
676	0.3423735035
677	0.3413012888
678	0.3402279442
679	0.3389300213
680	0.3378667369
681	0.3368330144
682	0.3358029866
683	0.33439122
684	0.3335189755
685	0.3325685676
686	0.3313656441
687	0.3302295683
688	0.3292056685
689	0.3282812803
690	0.327274935
691	0.3264042936
692	0.3254971468
693	0.3243684003
694	0.3234544762
695	0.3226234499
696	0.3216343341
697	0.3202670816
698	0.3193029811
699	0.3183329298
700	0.3174955446
701	0.3164751378
702	0.3154048446
703	0.3144502336
704	0.3135151072
705	0.3126265622
706	0.311655171
707	0.3106696188
708	0.3095548088
709	0.3085272392
710	0.3074062327
711	0.3063141915
712	0.3053271907
713	0.3041033451
714	0.3033138125
715	0.3024098832
716	0.3014103708
717	0.3005598633
718	0.299802704
719	0.298846071
720	0.2979217704
721	0.2970506713
722	0.2961831084
723	0.2951729992
724	0.2943529353
725	0.2934117672
726	0.2923039282
727	0.2914810437
728	0.2907126456
729	0.2899154211
730	0.2890543602
731	0.2880168499
732	0.2869731368
733	0.2859429215
734	0.2851263647
735	0.2840017195
736	0.2830163697
737	0.2821246147
738	0.2812793631
739	0.2803627627
740	0.2795470708
741	0.2787635666
742	0.278058543
743	0.2770925561
744	0.2761562497
745	0.2751585252
746	0.2742200163
747	0.2735561376
748	0.2728397788
749	0.2720933802
750	0.2713660058
751	0.2707126087
752	0.2699531331
753	0.2689772131
754	0.2681741746
755	0.2674102473
756	0.2667146643
757	0.2656964536
758	0.2649322111
759	0.264028436
760	0.2633139021
761	0.2625701153
762	0.2618957493
763	0.260809352
764	0.2601142191
765	0.2591069578
766	0.2584065869
767	0.2578552333
768	0.2567644884
769	0.255600199
770	0.2545502372
771	0.2539978982
772	0.2533394115
773	0.2522914464
774	0.2515419058
775	0.2509043815
776	0.2502763075
777	0.249211992
778	0.2485659696
779	0.2475506447
780	0.2468666863
781	0.2463192488
782	0.2455766519
783	0.2446042226
784	0.2439829519
785	0.2432730649
786	0.2425878088
787	0.2419864021
788	0.2415011732
789	0.240917218
790	0.2402834661
791	0.2395566723
792	0.2389449322
793	0.2382548451
794	0.2368290527
795	0.2362147348
796	0.2354222358
797	0.2345986013
798	0.2339567081
799	0.2331651099
800	0.2326036624
801	0.232018742
802	0.2311661576
803	0.2305566043
804	0.2299277453
805	0.2293679505
806	0.228768662
807	0.228259014
808	0.2276906527
809	0.2270905477
810	0.2264729948
811	0.2258889939
812	0.2248659989
813	0.2242126825
814	0.2234822896
815	0.2224216871
816	0.2219168697
817	0.2209049147
818	0.2200834188
819	0.2192914437
820	0.2187882576
821	0.2177954466
822	0.2171007989
823	0.2165423903
824	0.2159733136
825	0.2154733253
826	0.2149486455
827	0.214401269
828	0.2135969597
829	0.2129272762
830	0.212324487
831	0.2116654619
832	0.2113241416
833	0.2107303956
834	0.2101822304
835	0.2095642188
836	0.2085680595
837	0.2080027876
838	0.20746976
839	0.2069931339
840	0.2063625912
841	0.2058742458
842	0.2052736378
843	0.2046186587
844	0.2040592442
845	0.2035501504
846	0.202952031
847	0.2023112894
848	0.201785622
849	0.2011705364
850	0.2004726954
851	0.1999794729
852	0.1995010791
853	0.1989901153
854	0.1984745294
855	0.1980010995
856	0.1974679934
857	0.1969839939
858	0.1962939449
859	0.1957942502
860	0.1952918033
861	0.1943038025
862	0.1937205829
863	0.1930009553
864	0.1924688578
865	0.1920085126
866	0.1915277552
867	0.1911015596
868	0.1906543853
869	0.1901085232
870	0.1894531611
871	0.1888450385
872	0.1883056028
873	0.1879278692
874	0.1874824079
875	0.1869432
876	0.1864673382
877	0.1858698781
878	0.1853854923
879	0.1844585291
880	0.1838289028
881	0.1833757773
882	0.1826229308
883	0.1822392939
884	0.1818242674
885	0.181374878
886	0.1809956934
887	0.1802405637
888	0.1797964594
889	0.1790746855
890	0.1783181404
891	0.1778864209
892	0.1772162888
893	0.1765508955
894	0.1761616151
895	0.1757736305
896	0.1753102206
897	0.1747692813
898	0.1743162045
899	0.1739610192
900	0.1735251256
901	0.1730762334
902	0.1725638849
903	0.1720193107
904	0.1715532723
905	0.1710868083
906	0.1707098131
907	0.1700045129
908	0.1696635795
909	0.1692212243
910	0.1688341462
911	0.1684053666
912	0.1679727121
913	0.1676190269
914	0.1671825534
915	0.1667929397
916	0.1663599742
917	0.1659833782
918	0.1652465999
919	0.1648715436
920	0.164357123
921	0.1639850383
922	0.1636073625
923	0.1632312845
924	0.1627929107
925	0.1623992792
926	0.1619085396
927	0.1615606604
928	0.1612150267
929	0.1609042069
930	0.16067791
931	0.1602486741
932	0.1598338821
933	0.159365327
934	0.1588640632
935	0.158428087
936	0.1580905975
937	0.1578015021
938	0.157390534
939	0.1569397551
940	0.1565226352
941	0.1561581324
942	0.1557813926
943	0.155432232
944	0.1548428249
945	0.1545107744
946	0.1540271217
947	0.1537936005
948	0.153223617
949	0.1526572715
950	0.1523281805
951	0.1518427812
952	0.15158239
953	0.1512648574
954	0.1509965529
955	0.1506241611
956	0.150259485
957	0.1499533763
958	0.1494289564
959	0.1489674151
960	0.1485393881
961	0.1481508556
962	0.1478790207
963	0.1475519608
964	0.1471985054
965	0.1468510917
966	0.1465907724
967	0.1461464785
968	0.145697819
969	0.1453198061
970	0.1450161643
971	0.1447064284
972	0.144412609
973	0.1440688606
974	0.1436732713
975	0.1431870693
976	0.1428052346
977	0.1425143976
978	0.1421438976
979	0.1418054205
980	0.1414528834
981	0.1411437909
982	0.1405502803
983	0.1402526321
984	0.139769075
985	0.1394332089
986	0.1391224117
987	0.1387469851
988	0.1384231773
989	0.1381486796
990	0.1377236376
991	0.1372278439
992	0.1369745659
993	0.1366872789
994	0.1363258582
995	0.1358552174
996	0.1355678838
997	0.1351578421
998	0.1348068456
999	0.1346079724
